f; V in;V out;V fs;t;t fs
500;7;7.04;1;30;50
1000;7.04;6.8;1;30;50
1500;7.04;6.72;1;30;50
2000;7.04;6.56;1;30;50
2500;7.04;6.32;1;28;10
3000;7;6.08;1;27.2;10
3500;7;5.8;1;26.4;10
4000;7;5.52;1;25.2;10
4500;7;5.28;1;24.4;10
5000;7;5.04;1;23.6;10
5500;7;4.8;1;22.8;10
6000;7;4.64;1;22;10
6500;7;4.4;1;21.2;10
7000;7;4.24;1;20.8;10
7500;6.96;4;1;20;10
8000;6.96;3.84;1;19.2;10
27000;6.92;1.39;0.2;8;2.5
40000;6.92;0.96;0.2;5.7;2.5
70000;6.88;0.556;0.1;3.36;1
97000;6.88;0.404;0.1;2.48;1
170000;6.84;0.234;0.05;1.5;0.5
270000;6.84;0.149;0.02;0.98;0.5
430000;6.8;0.0984;0.02;0.5;0.25
680000;6.8;0.0728;0.02;0.22;0.1
1000000;6.8;0.0472;0.02;0.156;0.1
1700000;6.8;0.0416;0.02;0.066;0.05
2700000;6.8;0.0344;0.02;0.032;0.025
