f khz;Vin;Vout;div IN;div out;t mus;div t
280;7.44;0.832;1;0.2;-760;250
285;7.36;0.816;1;0.2;-750;250
290;7.24;0.896;1;0.2;-710;250
295;7.12;0.992;1;0.2;-680;250
300;6.92;1.1;1;0.2;-640;250
305;6.64;1.22;1;0.2;-590;250
310;6.28;1.36;1;0.2;-530;250
314;5.92;1.48;1;0.5;-470;250
315;5.84;1.52;1;0.5;-460;100
316;5.72;1.56;1;0.5;-428;100
317;5.6;1.58;1;0.5;-424;100
318;5.52;1.6;1;0.5;-388;100
319;5.4;1.64;1;0.5;-376;100
320;5.32;1.64;1;0.5;-352;100
325;4.84;1.76;1;0.5;-220;50
328;4.64;1.8;1;0.5;-128;50
329;4.6;1.8;1;0.5;-96;50
330;4.6;1.8;1;0.5;-66;25
331;4.56;1.82;1;0.5;-37;25
332;4.56;1.82;1;0.5;0;25
334;4.56;1.82;1;0.5;52;25
335;4.6;1.8;1;0.5;91;25
336;4.64;1.8;1;0.5;118;50
337;4.68;1.8;1;0.5;146;50
340;4.84;1.76;1;0.5;212;100
344;5.16;1.7;1;0.5;292;100
345;5.24;1.68;1;0.5;316;100
346;5.32;1.68;1;0.5;332;100
347;5.4;1.64;1;0.5;344;100
348;5.48;1.62;1;0.5;360;100
349;5.56;1.6;1;0.5;368;100
350;5.64;1.58;1;0.5;380;100
351;5.72;1.56;1;0.5;392;100
355;6;1.48;1;0.5;430;250
360;6.32;1.36;1;0.2;460;250
365;6.56;1.26;1;0.2;490;250
370;6.8;1.17;1;0.2;500;250
375;6.96;1.09;1;0.2;520;250
380;7.08;1.01;1;0.2;530;250
385;7.2;0.944;1;0.2;530;250
390;7.28;0.88;1;0.2;540;250
